,Date,Round No.,Cell,F Value,P Value
0,2023-11-28,2,Channel.C_027,1.9592881521209164,0.11704938737747161
1,2023-11-28,2,Channel.C_027,1.8015617253346554,0.1451845670380225
2,2023-11-28,2,Channel.C_021,0.7251014090520923,0.5794309801132993
3,2023-11-28,2,Channel.C_010,0.15973630831643013,0.9575387077373755
4,2023-11-28,2,Channel.C_007,1.9232604142424945,0.1229639144630976
5,2023-11-28,2,Channel.C_006,0.25943274324848176,0.9023619044332177
6,2023-11-28,2,Channel.C_004,1.8559263521288838,0.13481240630703883
7,2023-11-28,1,Channel.C_030,2.26219462374377,0.07723909966980201
8,2023-11-28,1,Channel.C_023,1.6409774436090223,0.18053306335628633
9,2023-11-28,1,Channel.C_008,1.3582639333760411,0.2634549908300328
10,2023-11-25,3,Channel.C_013,0.5054803181528599,0.731973226932467
11,2023-11-25,2,Channel.C_017,1.2611633372502937,0.29924354253269536
12,2023-11-25,2,Channel.C_013,1.2590805902383657,0.300056978711818
13,2023-11-25,2,Channel.C_000,0.19694467382328656,0.9387021230720027
14,2023-11-22,3,Channel.C_003,2.0625367574985294,0.1016060287544829
15,2023-11-22,2,Channel.C_003,1.595082994049483,0.19206592979119264
16,2023-11-20,2,Channel.C_007,1.7417828030502236,0.1574838236357837
17,2023-11-12,2,Channel.C_022,1.8373017729335266,0.138281840550435
18,2023-11-11,2,Channel.C_024,1.361089310940198,0.26247449069255885
19,2023-11-11,2,Channel.C_015,0.3730125647591258,0.8266372737669256
20,2023-11-11,1,Channel.C_000,2.02247191011236,0.10734444483663758
21,2023-11-08,4,Channel.C_023,0.6105083694978299,0.6571919989484774
22,2023-11-08,3,Channel.C_016,2.565648592999314,0.05090638965854316
23,2023-11-08,3,Channel.C_016,0.6248573685596418,0.6471967048951384
24,2023-11-08,3,Channel.C_016,1.113104774110862,0.36215825212405567
25,2023-11-08,3,Channel.C_015,0.8310676392572947,0.5125387567736985
26,2023-11-08,3,Channel.C_015,1.0837568058076226,0.37590031758194653
27,2023-11-08,3,Channel.C_007,2.2641914052644863,0.07702742743302414
28,2023-11-08,3,Channel.C_001,2.777555110220441,0.038075406311692206
29,2023-11-08,3,Channel.C_001,1.0361842105263157,0.39910368358853837
30,2023-11-08,3,Channel.C_001,0.48021978021978023,0.7500634222437821
31,2023-11-08,2,Channel.C_021,1.2435071680864322,0.3062021313508281
32,2023-11-08,2,Channel.C_016,0.3813287378179225,0.8207958165100636
33,2023-11-08,2,Channel.C_016,0.8940092165898618,0.4754189623522598
34,2023-11-08,2,Channel.C_001,0.4265682334439977,0.7886429409732048
35,2023-11-08,2,Channel.C_001,1.622775800711744,0.1850256848099667
36,2023-11-08,1,Channel.C_007,0.5171239942232307,0.7235018742218693
37,2023-10-31,2,Channel.C_024,0.6553201082055906,0.6262013840245353
38,2023-10-31,2,Channel.C_022,2.2636111577886076,0.07708887783248355
39,2023-10-31,2,Channel.C_016,0.38016896398399286,0.8216120337775823
40,2023-10-31,2,Channel.C_009,0.5181136789506559,0.7227909578912501
41,2023-10-31,2,Channel.C_001,0.30697584789311416,0.8718005199663265
42,2023-10-31,2,Channel.C_001,0.23830594184576484,0.9152099249568277
43,2023-10-31,1,Channel.C_022,2.6541450777202065,0.04508695974636483
44,2023-10-31,1,Channel.C_020,0.26388125343595387,0.8995933833105724
45,2023-10-31,1,Channel.C_011,0.6843876177658142,0.6064814430937598
46,2023-10-31,1,Channel.C_005,0.24495967741935482,0.9112193030267325
47,2023-10-31,1,Channel.C_004,1.0383291548038922,0.39803256240112445
48,2023-10-27,4,Channel.C_020,3.4396845497079265,0.01733768894467921
49,2023-10-27,4,Channel.C_016,2.005914164575582,0.11382328394585282
50,2023-10-27,4,Channel.C_011,3.887035692572195,0.009830670680365158
51,2023-10-27,4,Channel.C_008,1.2435816747845865,0.30949365804564494
52,2023-10-27,4,Channel.C_000,1.907195890868378,0.12977577258553646
53,2023-10-24,2,Channel.C_002,2.187062937062938,0.08563921927008987
54,2023-10-11,3,Channel.C_021,0.3627151618405123,0.8337997631373525
55,2023-10-11,3,Channel.C_013,1.4099533409277865,0.24643634139414933
56,2023-10-11,3,Channel.C_007,0.8082926866698554,0.5266126241063503
57,2023-10-11,3,Channel.C_002,1.2377565898260992,0.3088495433924813
58,2023-10-11,1,Channel.C_010,0.24898167006109978,0.9087816535948081
59,2023-10-11,1,Channel.C_002,1.5394736842105263,0.20697857160356237
60,2023-10-10,3,Channel.C_028,0.8683348727852885,0.4903167057396365
61,2023-10-10,3,Channel.C_018,1.5462143701184539,0.20511427384642694
62,2023-10-10,3,Channel.C_009,0.6595330739299611,0.6233234696453464
63,2023-10-10,2,Channel.C_021,0.6406464924346629,0.636274836114015
64,2023-10-10,2,Channel.C_010,2.4497757847533634,0.05968681840157319
65,2023-10-10,2,Channel.C_009,0.6333459787556903,0.6413145209332454
66,2023-10-09,3,Channel.C_013,0.4786445948417781,0.7511983143693016
67,2023-10-05,1,Channel.C_029,0.6153609204176588,0.6543625398777386
68,2023-10-05,1,Channel.C_024,1.6345664529020028,0.1867949013983075
69,2023-10-05,1,Channel.C_004,3.1761170163464945,0.024701341150475883
70,2023-10-04,4,Channel.C_027_Unit 1,1.0186601407158153,0.40794346117514385
71,2023-10-04,4,Channel.C_025_Unit 1,1.8062700964630227,0.14425641337211187
72,2023-10-04,4,Channel.C_022_Unit 2,0.7507094019403832,0.5627840870323783
73,2023-10-04,4,Channel.C_021_Unit 2,2.724622030237581,0.04093659687546987
74,2023-10-04,4,Channel.C_018_Unit 2,0.3822008862629246,0.8201816998911763
75,2023-10-04,4,Channel.C_003_Unit 2,1.4715573515697855,0.22667319645394812
76,2023-10-04,3,Channel.C_009_Unit 3,1.7700625325690464,0.1515446425211075
77,2023-10-04,3,Channel.C_009_Unit 3,0.6938177739000376,0.600154759955628
78,2023-10-04,3,Channel.C_009_Unit 1,0.5000965401495631,0.7357473535425056
79,2023-10-04,3,Channel.C_004_Unit 3,2.071149093904448,0.10041264082431542
80,2023-10-04,3,Channel.C_004_Unit 2,2.205252918287938,0.08352557149763204
81,2023-10-04,3,Channel.C_002_Unit 1,0.25932203389830516,lasso_glm.py created0.9024305367558856
82,2023-10-04,2,Channel.C_022_Unit 1,1.1604938271604937,0.3408734294598814
83,2023-10-04,2,Channel.C_020_Unit 2,1.1205621301775148,0.35873512975566846
84,2023-10-04,2,Channel.C_020_Unit 1,1.127573656290804,0.3555418893653463
85,2023-10-04,2,Channel.C_018_Unit 1,0.41008950366151337,0.8004158754069938
86,2023-10-04,2,Channel.C_009_Unit 1,3.230158730158731,0.02056219950676533
87,2023-10-04,1,Channel.C_019_Unit 3,2.7585530005608527,0.0390784541612397
88,2023-10-04,1,Channel.C_019_Unit 2,1.3676570650941258,0.2602081562434618
89,2023-10-04,1,Channel.C_004_Unit 1,1.3214865962632003,0.27652654383352415
90,2023-10-03,4,Channel.C_027_Unit 1,0.23770526439636794,0.9155324187221648
91,2023-10-03,4,Channel.C_025_Unit 1,0.6554945738086357,0.6261523929448845
92,2023-10-03,4,Channel.C_010_Unit 2,9.399200851429319,1.3992964146340801e-05
93,2023-10-03,3,Channel.C_027_Unit 1,0.9688807534195701,0.43415671457421323
94,2023-10-03,3,Channel.C_019_Unit 1,1.4975742674287642,0.2193440763107316
95,2023-10-03,3,Channel.C_013_Unit 1,1.0676332893959368,0.3839178146848466
96,2023-10-03,3,Channel.C_004_Unit 2,0.7096732538123234,0.5896976578009314
97,2023-10-03,1,Channel.C_009,1.1491018536212498,0.3458892401609526
98,2023-09-26,3,Channel.C_027_Unit 2,1.8633350365794346,0.1353125506709296
99,2023-09-26,3,Channel.C_009_Unit 2,0.8170719940671424,0.5217307963909743
100,2023-09-26,3,Channel.C_009_Unit 1,0.8607784798227904,0.49553272195664066
101,2023-09-26,3,Channel.C_002_Unit 1,2.448743474450329,0.061322498693143546
102,2023-09-26,1,Channel.C_014_Unit 1,0.7748370360643009,0.5475062661922689
103,2023-09-26,1,Channel.C_027_Unit 1,0.4826351152931964,0.7483199202421975
